Tue Apr 28 21:05:12 2020    func.txt

         1259 function calls in 2.561 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.554    2.554    2.561    2.561 Task1.py:21(func)
     1000    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        3    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.001    0.000 __init__.py:251(__init__)
        6    0.000    0.000    0.000    0.000 ntpath.py:44(normcase)
        3    0.000    0.000    0.000    0.000 __init__.py:1376(findCaller)
        3    0.000    0.000    0.002    0.001 __init__.py:971(flush)
        6    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:390(format)
        3    0.000    0.000    0.000    0.000 ntpath.py:200(split)
        3    0.000    0.000    0.004    0.001 __init__.py:1421(_log)
        3    0.000    0.000    0.002    0.001 __init__.py:852(handle)
        3    0.000    0.000    0.002    0.001 __init__.py:982(emit)
        3    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
        3    0.000    0.000    0.000    0.000 genericpath.py:117(_splitext)
        9    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        6    0.000    0.000    0.000    0.000 __init__.py:816(release)
        3    0.000    0.000    0.000    0.000 __init__.py:564(format)
        1    0.000    0.000    0.003    0.003 __init__.py:1894(info)
        3    0.000    0.000    0.002    0.001 __init__.py:1500(callHandlers)
        3    0.000    0.000    0.001    0.000 __init__.py:1406(makeRecord)
        9    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.003    0.003 __init__.py:1298(info)
        6    0.000    0.000    0.000    0.000 cp1251.py:18(encode)
        3    0.000    0.000    0.000    0.000 __init__.py:157(<lambda>)
        6    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        3    0.000    0.000    0.002    0.001 __init__.py:1446(handle)
        2    0.000    0.000    0.001    0.001 __init__.py:1904(debug)
       15    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        3    0.000    0.000    0.000    0.000 __init__.py:120(getLevelName)
        6    0.000    0.000    0.000    0.000 __init__.py:809(acquire)
        3    0.000    0.000    0.000    0.000 __init__.py:387(usesTime)
        3    0.000    0.000    0.000    0.000 __init__.py:1544(isEnabledFor)
        3    0.000    0.000    0.000    0.000 ntpath.py:223(splitext)
        2    0.000    0.000    0.001    0.001 __init__.py:1286(debug)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.002    0.001 __init__.py:1063(emit)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.000    0.000 __init__.py:705(filter)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.000    0.000 __init__.py:329(getMessage)
        3    0.000    0.000    0.000    0.000 threading.py:1076(name)
        3    0.000    0.000    0.000    0.000 threading.py:1230(current_thread)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.000    0.000 __init__.py:1530(getEffectiveLevel)
        6    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:829(format)
        3    0.000    0.000    0.000    0.000 ntpath.py:234(basename)
        6    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        6    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:542(usesTime)
        3    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        3    0.000    0.000    0.000    0.000 {built-in method time.time}
        3    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        3    0.000    0.000    0.000    0.000 __init__.py:548(formatMessage)
        6    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


<pstats.Stats object at 0x0000000476FEAB38>
